Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
20191361F1395,416957,432138,-1.744124,53.785307,13,3,2,1,15/01/2019,3,17:40,200,E08000032,6,0,6,30,9,4,6,0,0,0,4,4,1,0,0,1,1,E01010730,
20191361G1247,414225,433686,-1.785517,53.799301,13,3,2,1,16/01/2019,4,17:14,200,E08000032,4,6145,6,30,6,2,3,6177,0,5,4,1,1,0,0,1,1,E01010813,
20191361G1702,416674,430257,-1.748520,53.768410,13,3,2,3,16/01/2019,4,21:05,200,E08000032,3,6177,1,30,1,2,1,606,0,0,4,1,1,0,0,1,1,E01010746,
20191361H0253,416733,434906,-1.747375,53.810192,13,3,1,1,17/01/2019,5,08:20,200,E08000032,3,6177,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01010830,
20191361H0349,405199,440486,-1.922439,53.860585,13,3,1,1,17/01/2019,5,09:35,200,E08000032,4,6143,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01010725,
20191361H1209,414786,437445,-1.776820,53.833071,13,2,1,1,17/01/2019,5,17:35,200,E08000032,6,0,6,20,3,4,6,0,0,0,5,1,2,0,0,1,1,E01033689,
20191361I1326,416071,434843,-1.757431,53.809647,13,3,2,1,18/01/2019,6,17:46,200,E08000032,3,650,6,30,9,4,6,0,0,0,4,3,2,0,0,1,1,E01033693,
20191361J0797,416999,433018,-1.743439,53.793215,13,3,2,1,19/01/2019,7,13:14,200,E08000032,3,650,6,30,6,2,3,647,0,0,1,1,1,0,0,1,1,E01010606,
20191361J0959,417237,432320,-1.739864,53.786933,13,3,2,1,19/01/2019,7,13:45,200,E08000032,3,650,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010730,
20191361K0153,411378,439120,-1.828541,53.848210,13,3,1,1,20/01/2019,1,01:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01010584,
20191361K0844,414659,436833,-1.778779,53.827574,13,3,2,1,20/01/2019,1,13:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010789,
20191361K0931,416930,432290,-1.744526,53.786674,13,3,2,1,20/01/2019,1,14:14,200,E08000032,6,0,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01010730,
20191361K1099,405825,440311,-1.912924,53.859005,13,3,1,2,20/01/2019,1,15:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010711,
20191361L1140,412940,435371,-1.804955,53.814479,13,3,1,1,21/01/2019,2,16:13,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010671,
20191361M0349,413965,437613,-1.789287,53.834603,13,3,2,1,22/01/2019,3,09:10,200,E08000032,3,650,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010788,
20191361M1294,407520,440553,-1.887148,53.861159,13,1,1,1,22/01/2019,3,18:05,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01010705,
20191361N0165,417948,435730,-1.728877,53.817558,13,3,4,1,23/01/2019,4,04:42,200,E08000032,3,6176,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,1,E01010651,
